ticket_id,customer_message,timestamp,cleaned_message,issue_type,priority,sla_hours,due_time
1,I can't log in to my account! Urgent help needed.,2023-10-01 10:00:00,i cant log in to my account urgent help needed,LOGIN,P0,1,2023-10-01 11:00:00
2,My payment was charged twice. Refund please!,2023-10-01 11:00:00,my payment was charged twice refund please,PAYMENT,P1,4,2023-10-01 15:00:00
3,Package not delivered yet. Where is it?,2023-10-01 12:00:00,package not delivered yet where is it,DELIVERY,P2,24,2023-10-02 12:00:00
4,App keeps crashing. Bug report.,2023-10-01 13:00:00,app keeps crashing bug report,BUG,P1,4,2023-10-01 17:00:00
5,How do I reset my password?,2023-10-01 14:00:00,how do i reset my password,LOGIN,P2,24,2023-10-02 14:00:00
6,Payment failed during checkout.,2023-10-01 15:00:00,payment failed during checkout,PAYMENT,P0,1,2023-10-01 16:00:00
7,Delivery delayed by 3 days.,2023-10-01 16:00:00,delivery delayed by 3 days,DELIVERY,P0,1,2023-10-01 17:00:00
8,Refund not processed after return.,2023-10-01 17:00:00,refund not processed after return,REFUND,P1,4,2023-10-01 21:00:00
9,Login issues on mobile app.,2023-10-01 18:00:00,login issues on mobile app,LOGIN,P2,24,2023-10-02 18:00:00
10,General inquiry about subscription.,2023-10-01 19:00:00,general inquiry about subscription,GENERAL,P3,72,2023-10-04 19:00:00
